Date,Open,High,Low,Close,Adj Close,Volume
2022-05-18,488.260010,489.209991,468.359985,471.380005,468.235748,3240500
2022-05-19,464.320007,481.579987,463.329987,478.549988,475.357880,3813800
2022-05-20,481.380005,487.470001,472.309998,485.730011,482.490051,3068200
2022-05-23,486.290009,495.739990,486.290009,492.079987,488.797668,2279800
2022-05-24,490.790009,498.079987,488.660004,497.559998,494.241119,2658100
2022-05-25,498.519989,502.309998,491.260010,498.089996,494.767578,3161600
2022-05-26,501.739990,507.260010,499.410004,502.230011,498.879974,2705800
2022-05-27,491.000000,507.109985,489.390015,507.109985,503.727386,3349100
2022-05-31,503.619995,504.109985,495.660004,496.779999,493.466309,4003100
2022-06-01,498.320007,501.380005,487.779999,492.549988,489.264526,1765900
2022-06-02,494.000000,496.149994,482.970001,492.260010,488.976471,2093500
2022-06-03,488.329987,491.670013,484.899994,485.609985,482.370819,1756900
2022-06-06,489.429993,493.630005,486.290009,490.179993,486.910309,1781500
2022-06-07,489.500000,497.609985,487.119995,497.100006,493.784180,2341900
2022-06-08,494.000000,497.899994,488.549988,493.529999,490.237976,3268100
2022-06-09,492.880005,496.459991,487.609985,489.429993,486.165314,3148800
2022-06-10,484.799988,490.160004,480.929993,484.630005,481.397369,2599900
2022-06-13,475.130005,481.339996,467.260010,469.700012,466.566986,3764600
2022-06-14,467.500000,469.179993,457.420013,461.750000,458.669952,3814200
2022-06-15,464.200012,469.019989,456.500000,464.329987,461.232758,2550700
2022-06-16,453.399994,457.809998,450.679993,456.089996,454.663391,3135600
2022-06-17,450.750000,461.459991,449.700012,452.059998,450.645996,5277400
2022-06-21,457.809998,485.119995,457.100006,480.320007,478.817596,5726800
2022-06-22,475.720001,495.920013,474.540009,489.679993,488.148315,5061000
2022-06-23,494.950012,503.579987,491.959991,499.809998,498.246613,4687700
2022-06-24,499.440002,499.760010,486.559998,495.640015,494.089691,15861100
2022-06-27,492.829987,511.890015,492.579987,505.660004,504.078339,3907100
2022-06-28,512.080017,518.609985,505.079987,508.440002,506.849640,4978200
2022-06-29,508.850006,518.700012,506.010010,515.710022,514.096924,3823400
2022-06-30,513.549988,516.320007,509.720001,513.630005,512.023376,3568900
2022-07-01,512.320007,517.530029,502.309998,517.400024,515.781616,2426600
2022-07-05,507.640015,511.000000,492.250000,505.239990,503.659637,3029600
2022-07-06,505.640015,517.409973,504.299988,515.289978,513.678162,2506700
2022-07-07,515.250000,517.299988,512.229980,514.380005,512.771057,2385400
2022-07-08,512.309998,528.369995,511.010010,518.630005,517.007751,3092100
2022-07-11,514.859985,521.469971,511.809998,516.950012,515.333008,1743600
2022-07-12,513.250000,519.140015,510.619995,514.419983,512.810913,2706500
2022-07-13,508.070007,511.859985,501.190002,501.239990,499.672150,3467700
2022-07-14,495.000000,505.890015,492.279999,502.429993,500.858429,3765500
