Date,Close/Last,Volume,Open,High,Low
6/29/2020,$69.86 ,45073560,$68.02 ,$69.90 ,$67.58 
6/26/2020,$68.13 ,97640280,$71.63 ,$71.85 ,$67.75 
6/25/2020,$72.06 ,23958140,$71.56 ,$72.12 ,$70.98 
6/24/2020,$71.64 ,31591580,$73.16 ,$73.79 ,$71.50 
6/23/2020,$73.20 ,37751660,$72.60 ,$73.76 ,$72.25 
6/22/2020,$72.53 ,29441440,$71.25 ,$72.55 ,$70.96 
6/19/2020,$71.23 ,52783340,$72 ,$72.23 ,$70.95 
6/18/2020,$71.71 ,34861420,$72.49 ,$72.65 ,$71.31 
6/17/2020,$72.63 ,30610000,$72.65 ,$73.11 ,$71.76 
6/16/2020,$72.32 ,30696520,$72.45 ,$72.86 ,$71.45 
6/15/2020,$71.04 ,30553040,$69.47 ,$71.25 ,$69.36 
6/12/2020,$70.65 ,36675120,$71.29 ,$71.73 ,$69.29 
6/11/2020,$70.10 ,47144860,$72.05 ,$72.58 ,$69.92 
6/10/2020,$73.24 ,31762320,$73.08 ,$73.64 ,$72.72 
6/9/2020,$72.60 ,33623100,$72.26 ,$73.39 ,$72.12 
6/8/2020,$72.40 ,33877620,$71.31 ,$72.45 ,$71.22 
6/5/2020,$72.00 ,42647000,$70.78 ,$72.32 ,$70.38 
6/4/2020,$70.72 ,26982100,$71.84 ,$72.07 ,$70.30 
6/3/2020,$71.96 ,27732800,$72.14 ,$72.45 ,$71.58 
6/2/2020,$72.12 ,23441380,$71.75 ,$72.15 ,$71.08 
6/1/2020,$71.74 ,25185080,$71.29 ,$72.08 ,$71.11 
5/29/2020,$71.68 ,37050440,$71.02 ,$71.84 ,$70.80 
5/28/2020,$70.91 ,35195740,$70 ,$72.22 ,$69.95 
5/27/2020,$71.01 ,31683700,$71 ,$71.27 ,$69.73 
5/26/2020,$71.07 ,44589760,$72.10 ,$72.26 ,$70.97 
5/22/2020,$70.66 ,28544120,$70.20 ,$70.85 ,$69.80 
5/21/2020,$70.34 ,30899520,$70.55 ,$70.82 ,$69.72 
5/20/2020,$70.46 ,38262660,$69.46 ,$70.60 ,$69.37 
5/19/2020,$68.72 ,31585000,$69.27 ,$69.62 ,$68.69 
5/18/2020,$69.26 ,47128980,$68.08 ,$69.64 ,$67.71 
5/15/2020,$68.65 ,41543980,$67.41 ,$68.73 ,$66.95 
5/14/2020,$67.84 ,36660340,$66.68 ,$67.87 ,$66.17 
5/13/2020,$67.42 ,40368080,$68.81 ,$69.27 ,$66.40 
5/12/2020,$68.76 ,33917480,$70.41 ,$70.72 ,$68.73 
5/11/2020,$70.18 ,32717120,$68.84 ,$70.78 ,$68.78 
5/8/2020,$69.22 ,33329740,$69.09 ,$69.83 ,$68.60 
5/7/2020,$68.46 ,30716380,$68.07 ,$68.80 ,$67.63 
5/6/2020,$67.27 ,31732580,$67.90 ,$68.43 ,$67.26 
5/5/2020,$67.45 ,39666360,$66.88 ,$68.55 ,$66.75 
5/4/2020,$66.15 ,30806940,$65.41 ,$66.22 ,$64.80 
5/1/2020,$65.87 ,48871080,$66.20 ,$67.57 ,$65.48 
4/30/2020,$67.34 ,55842480,$66.57 ,$67.50 ,$66.08 
4/29/2020,$67.11 ,108357760,$67.25 ,$68.01 ,$66.34 
4/28/2020,$61.63 ,80700140,$64.16 ,$64.24 ,$61.52 
4/27/2020,$63.54 ,44186660,$64.60 ,$64.71 ,$63.25 
4/24/2020,$63.83 ,37440080,$62.75 ,$63.89 ,$62.20 
4/23/2020,$63.56 ,34202440,$63.29 ,$64.41 ,$63.03 
4/22/2020,$62.92 ,46315840,$62.06 ,$63.99 ,$61.86 
4/21/2020,$60.61 ,49648080,$62.14 ,$62.50 ,$60.25 
4/20/2020,$63.06 ,35291860,$63.49 ,$63.84 ,$62.82 
4/17/2020,$63.95 ,51056480,$64.09 ,$64.50 ,$63.30 
4/16/2020,$62.87 ,57895140,$63.36 ,$63.67 ,$61.91 
4/15/2020,$62.87 ,42236840,$62.33 ,$63.76 ,$61.70 
4/14/2020,$63.26 ,63357240,$62.00 ,$63.79 ,$61.43 
4/13/2020,$60.52 ,38702560,$60.08 ,$60.73 ,$59.12 
4/9/2020,$60.33 ,54028460,$60.91 ,$61.10 ,$59.62 
4/8/2020,$60.35 ,40334260,$60.16 ,$60.75 ,$59.20 
4/7/2020,$59.13 ,61619100,$60.85 ,$61.04 ,$58.86 
4/6/2020,$59.16 ,63319820,$56.65 ,$59.54 ,$56.25 
4/3/2020,$54.64 ,51373880,$55.74 ,$55.94 ,$53.75 
4/2/2020,$55.85 ,56410680,$55 ,$56.14 ,$54.66 
4/1/2020,$55.11 ,51970380,$56.20 ,$56.47 ,$54.67 
3/31/2020,$58.10 ,65279420,$57.44 ,$58.67 ,$56.84 
3/30/2020,$57.32 ,58736540,$56.63 ,$57.55 ,$54.92 
3/27/2020,$55.51 ,62793220,$56.37 ,$57.55 ,$55.20 
3/26/2020,$58.15 ,76688440,$55.74 ,$58.57 ,$54.60 
3/25/2020,$55.08 ,90323240,$56.23 ,$57.31 ,$54.15 
3/24/2020,$56.50 ,72468700,$55.20 ,$56.67 ,$54.32 
3/23/2020,$52.71 ,83672580,$52.82 ,$53.35 ,$50.44 
3/20/2020,$53.41 ,82877940,$56.55 ,$56.92 ,$53.11 
3/19/2020,$55.58 ,74064960,$54.41 ,$57.63 ,$52.78 
3/18/2020,$54.56 ,93044760,$53.00 ,$55.25 ,$51.85 
3/17/2020,$55.90 ,83193720,$54.53 ,$56.30 ,$52.46 
3/16/2020,$53.65 ,96519620,$54.48 ,$57.27 ,$53.35 
3/13/2020,$60.71 ,79399460,$58.75 ,$60.72 ,$55.61 
3/12/2020,$55.58 ,94325860,$56.13 ,$59.44 ,$55.42 
3/11/2020,$60.55 ,54833880,$62.41 ,$62.85 ,$59.56 
3/10/2020,$63.76 ,54871320,$62.72 ,$63.79 ,$60.73 
3/9/2020,$60.79 ,69251560,$60.25 ,$62.64 ,$59.90 
3/6/2020,$64.79 ,64646300,$63.50 ,$65.14 ,$62.86 
3/5/2020,$65.74 ,54379640,$67.28 ,$67.68 ,$65.08 
3/4/2020,$69.08 ,47597120,$67.95 ,$69.14 ,$66.85 
3/3/2020,$66.89 ,56602240,$69.88 ,$70.41 ,$66.46 
3/2/2020,$69.32 ,55429260,$67.57 ,$69.37 ,$66.26 
2/28/2020,$66.96 ,80218000,$63.72 ,$67.12 ,$63.41 
2/27/2020,$65.75 ,62289520,$67.96 ,$68.47 ,$65.71 
2/26/2020,$69.52 ,49803560,$69.75 ,$70.68 ,$68.83 
2/25/2020,$69.32 ,51579320,$71.55 ,$71.84 ,$69.02 
2/24/2020,$70.99 ,49560780,$71.15 ,$71.82 ,$70.34 
2/21/2020,$74.17 ,42536860,$75.23 ,$75.55 ,$73.92 
2/20/2020,$75.85 ,25967720,$75.95 ,$76.35 ,$75.21 
2/19/2020,$76.24 ,22746760,$76.36 ,$76.54 ,$76.05 
2/18/2020,$75.97 ,25680220,$75.72 ,$76.53 ,$75.55 
2/14/2020,$75.94 ,23197140,$75.73 ,$76.00 ,$75.28 
2/13/2020,$75.67 ,22913160,$75.50 ,$76.30 ,$75.20 
2/12/2020,$75.93 ,31042720,$75.79 ,$76.02 ,$75.43 
2/11/2020,$75.50 ,34852940,$75.66 ,$76.49 ,$75.27 
2/10/2020,$75.43 ,38301440,$73.86 ,$75.44 ,$73.76 
2/7/2020,$73.96 ,28360980,$73.37 ,$74.26 ,$73.27 
2/6/2020,$73.80 ,37821580,$72.60 ,$74.08 ,$72.52 
2/5/2020,$72.30 ,36375860,$73.18 ,$73.23 ,$71.48 
2/4/2020,$72.27 ,95879340,$72.72 ,$73.37 ,$71.10 
2/3/2020,$74.13 ,72175200,$73.08 ,$74.32 ,$72.83 
1/31/2020,$71.64 ,43821500,$73.39 ,$73.48 ,$71.35 
1/30/2020,$72.71 ,27109440,$71.91 ,$72.76 ,$71.75 
1/29/2020,$72.84 ,21639280,$72.92 ,$73.21 ,$72.27 
1/28/2020,$72.53 ,29731720,$72.09 ,$72.74 ,$71.52 
1/27/2020,$71.59 ,34131320,$71.58 ,$71.83 ,$70.98 
1/24/2020,$73.31 ,29785600,$74.64 ,$74.71 ,$73.16 
1/23/2020,$74.23 ,26651240,$74.38 ,$74.68 ,$74.02 
1/22/2020,$74.21 ,28458920,$74.49 ,$75.03 ,$74.13 
1/21/2020,$74.11 ,48932020,$73.95 ,$74.49 ,$73.51 
1/17/2020,$73.98 ,52423500,$73.13 ,$74.03 ,$72.83 
1/16/2020,$72.51 ,26080800,$72.27 ,$72.54 ,$72 
1/15/2020,$71.96 ,21550380,$71.65 ,$72.04 ,$71.58 
1/14/2020,$71.53 ,26112720,$72 ,$72.13 ,$71.39 
1/13/2020,$72.00 ,30746340,$71.76 ,$72.07 ,$71.27 
1/10/2020,$71.45 ,26263560,$71.47 ,$71.75 ,$70.98 
1/9/2020,$70.99 ,33228760,$71.10 ,$71.43 ,$70.51 
1/8/2020,$70.25 ,35325480,$69.74 ,$70.59 ,$69.63 
1/7/2020,$69.76 ,34529120,$70.02 ,$70.18 ,$69.58 
1/6/2020,$69.89 ,46786860,$67.58 ,$69.92 ,$67.55 
1/3/2020,$68.08 ,23412580,$67.40 ,$68.69 ,$67.37 
1/2/2020,$68.43 ,27285300,$67.42 ,$68.43 ,$67.32 
12/31/2019,$66.97 ,19521220,$66.79 ,$67.03 ,$66.61 
12/30/2019,$66.99 ,20011840,$67.84 ,$67.85 ,$66.89 
12/27/2019,$67.73 ,23217460,$68.20 ,$68.35 ,$67.65 
12/26/2019,$68.12 ,23676000,$67.33 ,$68.16 ,$67.28 
12/24/2019,$67.22 ,13468200,$67.51 ,$67.60 ,$67.21 
12/23/2019,$67.53 ,19939340,$67.94 ,$68.09 ,$67.40 
12/20/2019,$67.56 ,50276980,$68.16 ,$68.20 ,$67.54 
12/19/2019,$67.82 ,30421640,$67.60 ,$67.88 ,$67.44 
12/18/2019,$67.60 ,23334660,$67.85 ,$67.97 ,$67.52 
12/17/2019,$67.74 ,32970980,$68.12 ,$68.22 ,$67.54 
12/16/2019,$68.04 ,28129140,$67.75 ,$68.18 ,$67.53 
12/13/2019,$67.34 ,33173680,$67.40 ,$67.57 ,$67.08 
12/12/2019,$67.42 ,29129320,$67.16 ,$67.73 ,$66.91 
